,ID,Name,Gioi_tinh,Bang_cap,Nghe_nghiep,Nam_kinh_nghiem,Luong
157,157,Ngoc,,Pho_thong,Lap_trinh_vien,19,7
158,158,Nam,Nu,Dai_hoc,Truong_phong,36,18
159,159,Hermione,Nu,Dai_hoc,Ke_toan,24,7
160,160,Long,Nu,Dai_hoc,Truong_phong,20,5
161,161,Nam,Nam,Tien_si,Thu_ky,4,9
162,162,Nam,Nu,Dai_hoc,Ke_toan,31,27.5
163,163,Ron,Nam,Pho_thong,Giang_vien,19,12
164,164,Ron,Nu,Pho_thong,Giao_Vien,1,16
165,165,Ngoc,,Cao_hoc,Thu_ky,35,14
166,166,Ron,Nam,Dai_hoc,Massage,27,7
167,167,Ngoc,,Dai_hoc,Giang_vien,21,16
168,168,Nam,Nam,Cao_hoc,Lap_trinh_vien,4,12
169,169,Nam,,Cao_hoc,Lap_trinh_vien,20,12
170,170,Ron,Nu,Dai_hoc,Giao_Vien,3,14.1
171,171,Ron,Nu,Cao_hoc,Maketting,11,19
172,172,Hermione,,Tien_si,Thu_ky,7,7
173,173,Ron,,Pho_thong,Giang_vien,8,8.4
174,174,Hermione,Nu,Pho_thong,Giao_Vien,19,19
175,175,Hermione,,Tien_si,Ke_toan,17,12.5
176,176,Ngoc,Nam,Pho_thong,Massage,18,11.1
177,177,Hermione,,Tien_si,Lap_trinh_vien,2,12.5
178,178,Nam,Nam,Dai_hoc,Massage,14,12
179,179,Ngoc,Nam,Cao_hoc,Giam_doc,6,4.2
180,180,Hermione,Nam,Dai_hoc,Massage,31,12
181,181,Ngoc,,Tien_si,Thu_ky,12,14.1
182,182,Lan,,Tien_si,Lap_trinh_vien,16,9
183,183,Ron,,Tien_si,Giao_Vien,33,25
184,184,Luna,Nu,Tien_si,Massage,4,7
185,185,Ngoc,Nam,Dai_hoc,Ke_toan,36,7
186,186,Harry,Nam,Cao_hoc,Giang_vien,28,12
187,187,Nam,,Pho_thong,Lap_trinh_vien,20,20
188,188,Ngoc,Nu,Cao_hoc,Truong_phong,24,12
189,189,Ngoc,Nam,Pho_thong,Thu_ky,6,14
190,190,Hermione,Nu,Tien_si,Massage,2,7
191,191,Lan,Nu,Tien_si,Maketting,22,15
192,192,Harry,Nam,Tien_si,Giang_vien,1,12
193,193,Harry,,Cao_hoc,Maketting,27,15
194,194,Luna,Nam,Cao_hoc,Massage,28,15.5
195,195,Luna,Nam,Pho_thong,Truong_phong,35,11.1
196,196,Ngoc,Nam,Dai_hoc,Lap_trinh_vien,34,5
197,197,Harry,Nu,Pho_thong,Truong_phong,19,16
198,198,Nam,,Pho_thong,Maketting,11,5
199,199,Lan,Nu,Dai_hoc,Ke_toan,20,11.1
200,200,Hermione,Nam,Dai_hoc,Ke_toan,26,5
201,201,Luna,,Dai_hoc,Thu_ky,14,15
202,202,Long,,Cao_hoc,Lap_trinh_vien,27,12
203,203,Ngoc,Nam,Tien_si,Ke_toan,14,12
204,204,Harry,Nam,Cao_hoc,Giao_Vien,8,9.1
205,205,Long,,Dai_hoc,Giao_Vien,11,8.4
206,206,Long,,Cao_hoc,Massage,16,12.5
207,207,Hermione,Nam,Cao_hoc,Thu_ky,7,7
208,208,Long,Nam,Cao_hoc,Giao_Vien,23,16
209,209,Lan,Nam,Dai_hoc,Lap_trinh_vien,23,12
210,210,Lan,,Cao_hoc,Massage,32,16
211,211,Lan,,Tien_si,Giang_vien,16,8.5
212,212,Long,Nam,Tien_si,Thu_ky,4,12
213,213,Lan,Nam,Dai_hoc,Giao_Vien,23,8.5
214,214,Luna,Nu,Pho_thong,Maketting,4,10.46
215,215,Harry,Nu,Dai_hoc,Truong_phong,23,7.1
216,216,Hermione,Nu,Cao_hoc,Thu_ky,25,7
217,217,Nam,,Tien_si,Giang_vien,34,9.1
218,218,Hermione,,Pho_thong,Giang_vien,26,5
219,219,Ngoc,Nu,Dai_hoc,Ke_toan,25,8.4
220,220,Ngoc,,Cao_hoc,Massage,25,15.5
221,221,Ngoc,,Pho_thong,Massage,21,14
222,222,Long,Nam,Dai_hoc,Massage,12,12.5
223,223,Lan,,Pho_thong,Ke_toan,2,17
224,224,Luna,,Tien_si,Maketting,12,9
225,225,Hermione,,Cao_hoc,Giang_vien,27,19
226,226,Long,Nam,Cao_hoc,Maketting,21,7.1
227,227,Lan,Nam,Tien_si,Massage,32,7
228,228,Harry,Nam,Tien_si,Giam_doc,10,16
229,229,Luna,Nam,Pho_thong,Truong_phong,36,14.1
230,230,Lan,Nu,Dai_hoc,Thu_ky,32,8.5
231,231,Nam,Nu,Pho_thong,Lap_trinh_vien,36,9.1
232,232,Long,,Dai_hoc,Maketting,34,15.5
233,233,Luna,,Tien_si,Giam_doc,6,25
234,234,Ngoc,Nu,Dai_hoc,Maketting,12,16
235,235,Long,Nu,Pho_thong,Massage,23,19
236,236,Nam,Nu,Tien_si,Ke_toan,11,9
237,237,Harry,Nu,Tien_si,Giang_vien,10,18
238,238,Ngoc,Nam,Dai_hoc,Maketting,26,7
239,239,Long,Nam,Cao_hoc,Thu_ky,20,7.1
240,240,Nam,Nam,Dai_hoc,Lap_trinh_vien,1,10.46
241,241,Lan,,Pho_thong,Truong_phong,24,12
242,242,Ron,Nu,Cao_hoc,Giam_doc,33,9.1
243,243,Luna,Nam,Pho_thong,Massage,29,12
244,244,Ngoc,Nu,Dai_hoc,Maketting,13,12
245,245,Luna,Nam,Pho_thong,Lap_trinh_vien,13,5
246,246,Hermione,Nu,Cao_hoc,Giao_Vien,15,5
247,247,Luna,Nam,Dai_hoc,Giang_vien,9,12
248,248,Harry,Nam,Dai_hoc,Giao_Vien,17,9
249,249,Nam,Nu,Tien_si,Giam_doc,4,5
250,250,Ron,Nam,Tien_si,Giao_Vien,22,14
251,251,Luna,Nam,Dai_hoc,Giam_doc,32,12
252,252,Lan,,Pho_thong,Giang_vien,28,12
253,253,Lan,Nu,Dai_hoc,Maketting,20,12
254,254,Lan,,Pho_thong,Truong_phong,29,12
255,255,Nam,,Cao_hoc,Massage,7,13.4
256,256,Ngoc,Nam,Tien_si,Giao_Vien,3,7
257,257,Harry,Nu,Pho_thong,Giam_doc,33,11.1
258,258,Lan,,Tien_si,Massage,32,12
259,259,Long,Nam,Tien_si,Truong_phong,24,9
260,260,Ron,Nam,Dai_hoc,Truong_phong,29,9
261,261,Nam,Nam,Dai_hoc,Giam_doc,8,19
262,262,Lan,,Pho_thong,Giam_doc,11,9
263,263,Nam,,Cao_hoc,Maketting,23,8.4
264,264,Nam,Nam,Dai_hoc,Giang_vien,23,12
265,265,Hermione,Nam,Tien_si,Truong_phong,36,15
266,266,Long,Nam,Cao_hoc,Lap_trinh_vien,6,7.1
267,267,Harry,Nu,Tien_si,Giam_doc,9,12.5
268,268,Ron,,Dai_hoc,Massage,24,12
269,269,Luna,Nam,Tien_si,Maketting,27,7
270,270,Hermione,Nam,Tien_si,Giang_vien,19,5
271,271,Lan,Nu,Pho_thong,Truong_phong,17,5
272,272,Ron,Nam,Cao_hoc,Lap_trinh_vien,1,9.2
273,273,Ron,,Tien_si,Truong_phong,4,9.2
274,274,Ngoc,Nam,Dai_hoc,Maketting,3,9
275,275,Harry,Nu,Dai_hoc,Giang_vien,29,14
276,276,Hermione,Nu,Pho_thong,Giao_Vien,3,12
277,277,Ron,Nu,Tien_si,Maketting,35,11.1
278,278,Nam,Nam,Pho_thong,Ke_toan,9,9
279,279,Ron,Nu,Cao_hoc,Giam_doc,13,9
280,280,Long,Nu,Dai_hoc,Giao_Vien,29,16
281,281,Long,Nam,Dai_hoc,Giao_Vien,11,9
282,282,Luna,Nu,Dai_hoc,Ke_toan,27,5
283,283,Long,,Tien_si,Thu_ky,16,5
284,284,Harry,,Cao_hoc,Massage,3,25
285,285,Luna,Nu,Cao_hoc,Giao_Vien,36,9
286,286,Nam,,Tien_si,Massage,33,19
287,287,Ron,Nu,Cao_hoc,Maketting,35,5
288,288,Nam,Nu,Dai_hoc,Giao_Vien,26,12
289,289,Ron,,Cao_hoc,Thu_ky,17,30.2
290,290,Nam,Nam,Cao_hoc,Maketting,14,20
291,291,Ngoc,Nu,Pho_thong,Giang_vien,9,7
292,292,Ngoc,Nam,Tien_si,Massage,31,16
293,293,Ngoc,Nu,Dai_hoc,Giang_vien,35,11.1
294,294,Long,Nam,Cao_hoc,Ke_toan,17,18
295,295,Harry,Nam,Pho_thong,Thu_ky,17,10.46
296,296,Ron,,Cao_hoc,Giam_doc,26,12
297,297,Nam,Nam,Tien_si,Massage,26,5
298,298,Hermione,,Cao_hoc,Thu_ky,13,15
299,299,Hermione,Nu,Dai_hoc,Giam_doc,24,11.1
300,300,Lan,,Cao_hoc,Massage,35,7
301,301,Harry,Nam,Cao_hoc,Lap_trinh_vien,8,7
302,302,Luna,,Tien_si,Lap_trinh_vien,34,25
303,303,Ngoc,Nu,Dai_hoc,Giao_Vien,26,47
304,304,Hermione,,Pho_thong,Giam_doc,7,12
305,305,Ron,Nam,Pho_thong,Giao_Vien,16,7
306,306,Harry,Nu,Pho_thong,Maketting,35,11.1
307,307,Ngoc,Nu,Cao_hoc,Thu_ky,29,6.2
308,308,Harry,Nu,Pho_thong,Massage,4,12
309,309,Ron,Nam,Pho_thong,Maketting,33,12.5
310,310,Ron,,Dai_hoc,Ke_toan,29,9.1
311,311,Lan,,Tien_si,Ke_toan,14,7.1
312,312,Nam,Nu,Cao_hoc,Ke_toan,25,12
313,313,Long,Nam,Dai_hoc,Giam_doc,30,5
314,314,Nam,Nam,Pho_thong,Truong_phong,34,11.1
315,315,Ron,Nu,Dai_hoc,Ke_toan,19,9
316,316,Ngoc,Nam,Dai_hoc,Truong_phong,34,16
317,317,Nam,,Dai_hoc,Massage,9,11.1
318,318,Hermione,Nam,Pho_thong,Ke_toan,28,16
319,319,Nam,Nam,Tien_si,Massage,32,5
320,320,Long,,Pho_thong,Massage,13,7
321,321,Ron,Nam,Tien_si,Giang_vien,33,9
322,322,Lan,Nu,Pho_thong,Maketting,4,12
323,323,Ngoc,Nu,Dai_hoc,Massage,25,11.1
324,324,Long,Nam,Cao_hoc,Giam_doc,30,16
325,325,Hermione,Nu,Tien_si,Massage,31,16
326,326,Nam,Nu,Cao_hoc,Giang_vien,5,15
327,327,Long,Nu,Dai_hoc,Lap_trinh_vien,12,14.1
328,328,Lan,Nam,Cao_hoc,Giang_vien,21,16
329,329,Ngoc,Nam,Cao_hoc,Giang_vien,18,44
330,330,Long,Nam,Pho_thong,Massage,6,5
331,331,Nam,Nu,Pho_thong,Maketting,33,5
332,332,Nam,Nu,Pho_thong,Giao_Vien,2,7.1
333,333,Harry,,Pho_thong,Thu_ky,30,12
334,334,Ron,Nam,Pho_thong,Massage,8,16
335,335,Nam,Nu,Tien_si,Maketting,24,12
336,336,Hermione,,Dai_hoc,Massage,15,14.1
337,337,Long,Nu,Cao_hoc,Ke_toan,1,7
338,338,Harry,,Dai_hoc,Ke_toan,28,2.2
339,339,Harry,Nu,Cao_hoc,Giam_doc,11,10.5
340,340,Lan,Nu,Tien_si,Giang_vien,35,19
341,341,Harry,,Dai_hoc,Massage,17,15
342,342,Luna,,Tien_si,Giam_doc,3,18
343,343,Long,,Dai_hoc,Maketting,21,5
344,344,Ngoc,Nu,Tien_si,Lap_trinh_vien,31,12
345,345,Ron,Nu,Dai_hoc,Giao_Vien,27,9
346,346,Hermione,,Tien_si,Truong_phong,23,6.2
347,347,Harry,Nu,Dai_hoc,Truong_phong,3,5
348,348,Lan,,Cao_hoc,Thu_ky,15,11.1
349,349,Lan,,Tien_si,Massage,32,12
350,350,Long,Nam,Dai_hoc,Giam_doc,34,19
351,351,Ron,,Cao_hoc,Giao_Vien,2,7
352,352,Long,Nu,Cao_hoc,Truong_phong,10,12
353,353,Ngoc,,Dai_hoc,Giam_doc,13,12
354,354,Long,Nam,Tien_si,Maketting,10,12
355,355,Ron,Nu,Cao_hoc,Truong_phong,20,25
356,356,Luna,,Tien_si,Massage,19,14
357,357,Luna,Nu,Cao_hoc,Lap_trinh_vien,27,7
358,358,Long,,Dai_hoc,Giam_doc,33,15.5
359,359,Lan,Nam,Pho_thong,Giao_Vien,14,12
360,360,Nam,,Cao_hoc,Truong_phong,36,12
361,361,Long,Nam,Dai_hoc,Massage,29,7
362,362,Ngoc,Nam,Pho_thong,Thu_ky,29,5
363,363,Nam,Nu,Pho_thong,Massage,21,15
364,364,Luna,Nam,Dai_hoc,Massage,13,30.2
365,365,Ngoc,,Cao_hoc,Giao_Vien,23,7
366,366,Lan,Nam,Dai_hoc,Truong_phong,31,9.1
367,367,Harry,,Cao_hoc,Giao_Vien,10,16
368,368,Harry,,Tien_si,Maketting,7,12
369,369,Long,,Dai_hoc,Giang_vien,21,16
370,370,Long,Nu,Pho_thong,Lap_trinh_vien,4,7
371,371,Ngoc,Nu,Pho_thong,Massage,10,30.2
372,372,Luna,Nam,Cao_hoc,Thu_ky,2,7
373,373,Nam,,Dai_hoc,Truong_phong,3,7
374,374,Lan,Nam,Pho_thong,Thu_ky,5,4.3
375,375,Harry,,Dai_hoc,Giam_doc,19,10.5
376,376,Ngoc,,Dai_hoc,Giao_Vien,24,25
377,377,Harry,Nu,Cao_hoc,Giang_vien,25,12
378,378,Nam,Nam,Cao_hoc,Giam_doc,34,16
379,379,Ngoc,,Dai_hoc,Giam_doc,15,19
380,380,Ngoc,,Cao_hoc,Maketting,33,19
381,381,Hermione,,Pho_thong,Maketting,10,9
382,382,Hermione,Nam,Cao_hoc,Lap_trinh_vien,12,9
383,383,Long,Nu,Cao_hoc,Truong_phong,29,8.5
384,384,Luna,Nu,Cao_hoc,Giao_Vien,30,12
385,385,Lan,Nam,Pho_thong,Thu_ky,20,11.1
386,386,Nam,Nu,Pho_thong,Ke_toan,23,12
387,387,Ngoc,Nam,Cao_hoc,Truong_phong,2,9
388,388,Lan,Nam,Tien_si,Giao_Vien,26,9
389,389,Nam,Nu,Tien_si,Thu_ky,31,9
390,390,Long,,Tien_si,Thu_ky,2,14
391,391,Ngoc,Nu,Tien_si,Truong_phong,6,20
392,392,Ron,Nam,Pho_thong,Giang_vien,12,19
393,393,Nam,,Cao_hoc,Massage,26,7.1
394,394,Lan,Nu,Dai_hoc,Thu_ky,21,27.5
395,395,Hermione,Nu,Pho_thong,Giang_vien,16,15.5
396,396,Lan,,Tien_si,Giam_doc,10,15.5
397,397,Hermione,,Tien_si,Giao_Vien,22,16
398,398,Nam,Nam,Pho_thong,Massage,4,7
399,399,Nam,Nam,Tien_si,Maketting,27,10.5
400,400,Lan,,Tien_si,Maketting,20,11.1
401,401,Hermione,Nam,Pho_thong,Truong_phong,16,11.1
402,402,Ngoc,,Dai_hoc,Thu_ky,20,12
403,403,Harry,Nam,Tien_si,Thu_ky,8,25
404,404,Nam,Nu,Pho_thong,Ke_toan,12,9.1
405,405,Luna,,Tien_si,Massage,14,14.1
406,406,Luna,Nam,Cao_hoc,Giang_vien,18,19
407,407,Hermione,,Cao_hoc,Truong_phong,27,18
408,408,Nam,Nu,Dai_hoc,Giang_vien,31,15
409,409,Lan,Nam,Tien_si,Ke_toan,18,7
410,410,Ron,,Pho_thong,Massage,14,12
411,411,Luna,,Pho_thong,Massage,28,14.1
412,412,Harry,Nu,Tien_si,Maketting,29,10.5
413,413,Luna,Nam,Cao_hoc,Ke_toan,8,12
414,414,Lan,,Dai_hoc,Giang_vien,9,12
415,415,Long,Nu,Cao_hoc,Ke_toan,24,11.1
416,416,Long,Nu,Tien_si,Lap_trinh_vien,16,16
417,417,Luna,Nam,Dai_hoc,Truong_phong,9,9
418,418,Lan,Nam,Pho_thong,Giang_vien,33,14
419,419,Ngoc,Nu,Cao_hoc,Maketting,24,18
420,420,Long,Nu,Cao_hoc,Maketting,21,12.5
421,421,Ngoc,Nu,Cao_hoc,Giao_Vien,4,9
422,422,Hermione,Nu,Dai_hoc,Thu_ky,20,12.5
423,423,Long,Nu,Tien_si,Maketting,4,11.1
424,424,Nam,Nam,Dai_hoc,Truong_phong,17,25
425,425,Lan,Nam,Tien_si,Giam_doc,3,14.1
426,426,Ron,,Tien_si,Giam_doc,10,47
427,427,Nam,Nam,Cao_hoc,Maketting,26,20.12
428,428,Luna,,Dai_hoc,Lap_trinh_vien,25,19
429,429,Harry,,Dai_hoc,Giang_vien,29,11.1
430,430,Ngoc,Nam,Pho_thong,Thu_ky,7,5.46
431,431,Ngoc,,Cao_hoc,Giao_Vien,21,14.1
432,432,Lan,Nu,Pho_thong,Thu_ky,25,19
433,433,Ron,,Pho_thong,Thu_ky,24,9.1
434,434,Nam,Nam,Dai_hoc,Thu_ky,32,9
435,435,Long,,Dai_hoc,Maketting,32,9
436,436,Lan,Nu,Cao_hoc,Lap_trinh_vien,13,14.1
437,437,Harry,Nu,Pho_thong,Lap_trinh_vien,17,15
438,438,Harry,Nam,Dai_hoc,Truong_phong,15,14
439,439,Lan,Nu,Cao_hoc,Maketting,23,14
440,440,Ngoc,,Tien_si,Giang_vien,32,14
441,441,Ron,Nam,Tien_si,Giang_vien,34,14
442,442,Nam,Nam,Tien_si,Giao_Vien,3,9
443,443,Harry,Nu,Tien_si,Giang_vien,8,9
444,444,Long,Nu,Dai_hoc,Giang_vien,35,7
445,445,Nam,Nam,Cao_hoc,Massage,19,8.4
446,446,Nam,Nu,Cao_hoc,Giao_Vien,7,11.1
447,447,Ron,,Pho_thong,Ke_toan,27,12
448,448,Nam,,Tien_si,Giao_Vien,19,25
449,449,Long,Nam,Dai_hoc,Giang_vien,2,9.1
450,450,Harry,Nu,Cao_hoc,Giang_vien,7,14
451,451,Ron,,Tien_si,Giao_Vien,29,9
452,452,Ron,Nu,Pho_thong,Giao_Vien,30,7.1
453,453,Ngoc,Nam,Dai_hoc,Giam_doc,9,9.1
454,454,Nam,Nam,Cao_hoc,Massage,35,8.5
455,455,Luna,Nam,Cao_hoc,Lap_trinh_vien,1,7
456,456,Ron,Nam,Pho_thong,Giao_Vien,12,12
457,457,Hermione,,Pho_thong,Thu_ky,5,9.1
458,458,Ron,Nu,Dai_hoc,Giao_Vien,16,14
459,459,Ngoc,Nu,Tien_si,Giam_doc,21,9
