,ID,Name,Gioi_tinh,Bang_cap,Nghe_nghiep,Nam_kinh_nghiem
115,115,Ron,,Pho_thong,Thu_ky,32
116,116,Luna,Nam,Cao_hoc,Lap_trinh_vien,22
117,117,Lan,,Tien_si,Maketting,33
118,118,Long,Nam,Cao_hoc,Lap_trinh_vien,7
119,119,Harry,,Cao_hoc,Thu_ky,27
120,120,Long,Nam,Dai_hoc,Thu_ky,4
121,121,Hermione,,Cao_hoc,Maketting,27
122,122,Nam,Nam,Dai_hoc,Ke_toan,35
123,123,Luna,,Tien_si,Maketting,15
124,124,Ron,Nam,Tien_si,Giao_Vien,3
125,125,Long,Nam,Cao_hoc,Giang_vien,26
126,126,Hermione,Nam,Pho_thong,Thu_ky,26
127,127,Harry,Nam,Dai_hoc,Giam_doc,35
128,128,Lan,Nu,Dai_hoc,Massage,6
129,129,Luna,Nu,Dai_hoc,Maketting,36
130,130,Long,Nam,Pho_thong,Ke_toan,13
131,131,Long,Nam,Tien_si,Maketting,8
132,132,Harry,Nam,Tien_si,Ke_toan,23
133,133,Nam,Nam,Dai_hoc,Ke_toan,29
134,134,Harry,Nu,Dai_hoc,Massage,9
135,135,Ngoc,Nu,Cao_hoc,Truong_phong,25
136,136,Nam,,Pho_thong,Truong_phong,19
137,137,Long,Nu,Cao_hoc,Ke_toan,21
138,138,Ngoc,Nam,Pho_thong,Ke_toan,27
139,139,Harry,Nu,Cao_hoc,Ke_toan,21
140,140,Ngoc,Nu,Dai_hoc,Lap_trinh_vien,26
141,141,Harry,Nu,Cao_hoc,Giang_vien,16
142,142,Ngoc,Nu,Pho_thong,Lap_trinh_vien,14
143,143,Harry,Nu,Tien_si,Lap_trinh_vien,2
144,144,Ngoc,Nu,Cao_hoc,Ke_toan,1
145,145,Lan,Nam,Pho_thong,Truong_phong,31
146,146,Ngoc,Nu,Dai_hoc,Ke_toan,34
147,147,Lan,Nu,Dai_hoc,Maketting,24
148,148,Luna,Nam,Cao_hoc,Maketting,3
149,149,Hermione,,Pho_thong,Giam_doc,11
150,150,Long,,Tien_si,Ke_toan,3
151,151,Ron,Nam,Pho_thong,Thu_ky,24
152,152,Luna,Nam,Cao_hoc,Lap_trinh_vien,33
153,153,Long,Nu,Dai_hoc,Ke_toan,31
154,154,Hermione,,Pho_thong,Giao_Vien,32
155,155,Luna,Nam,Cao_hoc,Giao_Vien,22
156,156,Harry,Nam,Tien_si,Ke_toan,6
157,157,Ngoc,,Pho_thong,Lap_trinh_vien,19
158,158,Nam,Nu,Dai_hoc,Truong_phong,36
159,159,Hermione,Nu,Dai_hoc,Ke_toan,24
160,160,Long,Nu,Dai_hoc,Truong_phong,20
161,161,Nam,Nam,Tien_si,Thu_ky,4
162,162,Nam,Nu,Dai_hoc,Ke_toan,31
163,163,Ron,Nam,Pho_thong,Giang_vien,19
164,164,Ron,Nu,Pho_thong,Giao_Vien,1
165,165,Ngoc,,Cao_hoc,Thu_ky,35
166,166,Ron,Nam,Dai_hoc,Massage,27
167,167,Ngoc,,Dai_hoc,Giang_vien,21
168,168,Nam,Nam,Cao_hoc,Lap_trinh_vien,4
169,169,Nam,,Cao_hoc,Lap_trinh_vien,20
170,170,Ron,Nu,Dai_hoc,Giao_Vien,3
171,171,Ron,Nu,Cao_hoc,Maketting,11
172,172,Hermione,,Tien_si,Thu_ky,7
173,173,Ron,,Pho_thong,Giang_vien,8
174,174,Hermione,Nu,Pho_thong,Giao_Vien,19
175,175,Hermione,,Tien_si,Ke_toan,17
176,176,Ngoc,Nam,Pho_thong,Massage,18
177,177,Hermione,,Tien_si,Lap_trinh_vien,2
178,178,Nam,Nam,Dai_hoc,Massage,14
179,179,Ngoc,Nam,Cao_hoc,Giam_doc,6
180,180,Hermione,Nam,Dai_hoc,Massage,31
181,181,Ngoc,,Tien_si,Thu_ky,12
182,182,Lan,,Tien_si,Lap_trinh_vien,16
183,183,Ron,,Tien_si,Giao_Vien,33
184,184,Luna,Nu,Tien_si,Massage,4
185,185,Ngoc,Nam,Dai_hoc,Ke_toan,36
186,186,Harry,Nam,Cao_hoc,Giang_vien,28
187,187,Nam,,Pho_thong,Lap_trinh_vien,20
188,188,Ngoc,Nu,Cao_hoc,Truong_phong,24
189,189,Ngoc,Nam,Pho_thong,Thu_ky,6
190,190,Hermione,Nu,Tien_si,Massage,2
191,191,Lan,Nu,Tien_si,Maketting,22
192,192,Harry,Nam,Tien_si,Giang_vien,1
193,193,Harry,,Cao_hoc,Maketting,27
194,194,Luna,Nam,Cao_hoc,Massage,28
195,195,Luna,Nam,Pho_thong,Truong_phong,35
196,196,Ngoc,Nam,Dai_hoc,Lap_trinh_vien,34
197,197,Harry,Nu,Pho_thong,Truong_phong,19
198,198,Nam,,Pho_thong,Maketting,11
199,199,Lan,Nu,Dai_hoc,Ke_toan,20
200,200,Hermione,Nam,Dai_hoc,Ke_toan,26
201,201,Luna,,Dai_hoc,Thu_ky,14
202,202,Long,,Cao_hoc,Lap_trinh_vien,27
203,203,Ngoc,Nam,Tien_si,Ke_toan,14
204,204,Harry,Nam,Cao_hoc,Giao_Vien,8
205,205,Long,,Dai_hoc,Giao_Vien,11
206,206,Long,,Cao_hoc,Massage,16
207,207,Hermione,Nam,Cao_hoc,Thu_ky,7
208,208,Long,Nam,Cao_hoc,Giao_Vien,23
209,209,Lan,Nam,Dai_hoc,Lap_trinh_vien,23
210,210,Lan,,Cao_hoc,Massage,32
211,211,Lan,,Tien_si,Giang_vien,16
212,212,Long,Nam,Tien_si,Thu_ky,4
213,213,Lan,Nam,Dai_hoc,Giao_Vien,23
214,214,Luna,Nu,Pho_thong,Maketting,4
215,215,Harry,Nu,Dai_hoc,Truong_phong,23
216,216,Hermione,Nu,Cao_hoc,Thu_ky,25
217,217,Nam,,Tien_si,Giang_vien,34
218,218,Hermione,,Pho_thong,Giang_vien,26
219,219,Ngoc,Nu,Dai_hoc,Ke_toan,25
220,220,Ngoc,,Cao_hoc,Massage,25
221,221,Ngoc,,Pho_thong,Massage,21
222,222,Long,Nam,Dai_hoc,Massage,12
223,223,Lan,,Pho_thong,Ke_toan,2
224,224,Luna,,Tien_si,Maketting,12
225,225,Hermione,,Cao_hoc,Giang_vien,27
226,226,Long,Nam,Cao_hoc,Maketting,21
227,227,Lan,Nam,Tien_si,Massage,32
228,228,Harry,Nam,Tien_si,Giam_doc,10
229,229,Luna,Nam,Pho_thong,Truong_phong,36
230,230,Lan,Nu,Dai_hoc,Thu_ky,32
231,231,Nam,Nu,Pho_thong,Lap_trinh_vien,36
232,232,Long,,Dai_hoc,Maketting,34
233,233,Luna,,Tien_si,Giam_doc,6
234,234,Ngoc,Nu,Dai_hoc,Maketting,12
235,235,Long,Nu,Pho_thong,Massage,23
236,236,Nam,Nu,Tien_si,Ke_toan,11
237,237,Harry,Nu,Tien_si,Giang_vien,10
238,238,Ngoc,Nam,Dai_hoc,Maketting,26
239,239,Long,Nam,Cao_hoc,Thu_ky,20
240,240,Nam,Nam,Dai_hoc,Lap_trinh_vien,1
241,241,Lan,,Pho_thong,Truong_phong,24
242,242,Ron,Nu,Cao_hoc,Giam_doc,33
243,243,Luna,Nam,Pho_thong,Massage,29
244,244,Ngoc,Nu,Dai_hoc,Maketting,13
245,245,Luna,Nam,Pho_thong,Lap_trinh_vien,13
246,246,Hermione,Nu,Cao_hoc,Giao_Vien,15
247,247,Luna,Nam,Dai_hoc,Giang_vien,9
248,248,Harry,Nam,Dai_hoc,Giao_Vien,17
249,249,Nam,Nu,Tien_si,Giam_doc,4
250,250,Ron,Nam,Tien_si,Giao_Vien,22
251,251,Luna,Nam,Dai_hoc,Giam_doc,32
252,252,Lan,,Pho_thong,Giang_vien,28
253,253,Lan,Nu,Dai_hoc,Maketting,20
254,254,Lan,,Pho_thong,Truong_phong,29
255,255,Nam,,Cao_hoc,Massage,7
256,256,Ngoc,Nam,Tien_si,Giao_Vien,3
257,257,Harry,Nu,Pho_thong,Giam_doc,33
258,258,Lan,,Tien_si,Massage,32
259,259,Long,Nam,Tien_si,Truong_phong,24
260,260,Ron,Nam,Dai_hoc,Truong_phong,29
261,261,Nam,Nam,Dai_hoc,Giam_doc,8
262,262,Lan,,Pho_thong,Giam_doc,11
263,263,Nam,,Cao_hoc,Maketting,23
264,264,Nam,Nam,Dai_hoc,Giang_vien,23
265,265,Hermione,Nam,Tien_si,Truong_phong,36
266,266,Long,Nam,Cao_hoc,Lap_trinh_vien,6
267,267,Harry,Nu,Tien_si,Giam_doc,9
268,268,Ron,,Dai_hoc,Massage,24
269,269,Luna,Nam,Tien_si,Maketting,27
270,270,Hermione,Nam,Tien_si,Giang_vien,19
271,271,Lan,Nu,Pho_thong,Truong_phong,17
272,272,Ron,Nam,Cao_hoc,Lap_trinh_vien,1
273,273,Ron,,Tien_si,Truong_phong,4
274,274,Ngoc,Nam,Dai_hoc,Maketting,3
275,275,Harry,Nu,Dai_hoc,Giang_vien,29
276,276,Hermione,Nu,Pho_thong,Giao_Vien,3
277,277,Ron,Nu,Tien_si,Maketting,35
278,278,Nam,Nam,Pho_thong,Ke_toan,9
279,279,Ron,Nu,Cao_hoc,Giam_doc,13
280,280,Long,Nu,Dai_hoc,Giao_Vien,29
281,281,Long,Nam,Dai_hoc,Giao_Vien,11
282,282,Luna,Nu,Dai_hoc,Ke_toan,27
283,283,Long,,Tien_si,Thu_ky,16
284,284,Harry,,Cao_hoc,Massage,3
285,285,Luna,Nu,Cao_hoc,Giao_Vien,36
286,286,Nam,,Tien_si,Massage,33
287,287,Ron,Nu,Cao_hoc,Maketting,35
288,288,Nam,Nu,Dai_hoc,Giao_Vien,26
289,289,Ron,,Cao_hoc,Thu_ky,17
290,290,Nam,Nam,Cao_hoc,Maketting,14
291,291,Ngoc,Nu,Pho_thong,Giang_vien,9
292,292,Ngoc,Nam,Tien_si,Massage,31
293,293,Ngoc,Nu,Dai_hoc,Giang_vien,35
294,294,Long,Nam,Cao_hoc,Ke_toan,17
295,295,Harry,Nam,Pho_thong,Thu_ky,17
296,296,Ron,,Cao_hoc,Giam_doc,26
297,297,Nam,Nam,Tien_si,Massage,26
298,298,Hermione,,Cao_hoc,Thu_ky,13
299,299,Hermione,Nu,Dai_hoc,Giam_doc,24
300,300,Lan,,Cao_hoc,Massage,35
301,301,Harry,Nam,Cao_hoc,Lap_trinh_vien,8
302,302,Luna,,Tien_si,Lap_trinh_vien,34
303,303,Ngoc,Nu,Dai_hoc,Giao_Vien,26
304,304,Hermione,,Pho_thong,Giam_doc,7
305,305,Ron,Nam,Pho_thong,Giao_Vien,16
306,306,Harry,Nu,Pho_thong,Maketting,35
307,307,Ngoc,Nu,Cao_hoc,Thu_ky,29
308,308,Harry,Nu,Pho_thong,Massage,4
309,309,Ron,Nam,Pho_thong,Maketting,33
310,310,Ron,,Dai_hoc,Ke_toan,29
311,311,Lan,,Tien_si,Ke_toan,14
312,312,Nam,Nu,Cao_hoc,Ke_toan,25
313,313,Long,Nam,Dai_hoc,Giam_doc,30
314,314,Nam,Nam,Pho_thong,Truong_phong,34
315,315,Ron,Nu,Dai_hoc,Ke_toan,19
316,316,Ngoc,Nam,Dai_hoc,Truong_phong,34
317,317,Nam,,Dai_hoc,Massage,9
318,318,Hermione,Nam,Pho_thong,Ke_toan,28
319,319,Nam,Nam,Tien_si,Massage,32
320,320,Long,,Pho_thong,Massage,13
321,321,Ron,Nam,Tien_si,Giang_vien,33
322,322,Lan,Nu,Pho_thong,Maketting,4
323,323,Ngoc,Nu,Dai_hoc,Massage,25
324,324,Long,Nam,Cao_hoc,Giam_doc,30
325,325,Hermione,Nu,Tien_si,Massage,31
326,326,Nam,Nu,Cao_hoc,Giang_vien,5
327,327,Long,Nu,Dai_hoc,Lap_trinh_vien,12
328,328,Lan,Nam,Cao_hoc,Giang_vien,21
329,329,Ngoc,Nam,Cao_hoc,Giang_vien,18
330,330,Long,Nam,Pho_thong,Massage,6
331,331,Nam,Nu,Pho_thong,Maketting,33
332,332,Nam,Nu,Pho_thong,Giao_Vien,2
333,333,Harry,,Pho_thong,Thu_ky,30
334,334,Ron,Nam,Pho_thong,Massage,8
335,335,Nam,Nu,Tien_si,Maketting,24
336,336,Hermione,,Dai_hoc,Massage,15
337,337,Long,Nu,Cao_hoc,Ke_toan,1
338,338,Harry,,Dai_hoc,Ke_toan,28
339,339,Harry,Nu,Cao_hoc,Giam_doc,11
340,340,Lan,Nu,Tien_si,Giang_vien,35
341,341,Harry,,Dai_hoc,Massage,17
342,342,Luna,,Tien_si,Giam_doc,3
343,343,Long,,Dai_hoc,Maketting,21
344,344,Ngoc,Nu,Tien_si,Lap_trinh_vien,31
345,345,Ron,Nu,Dai_hoc,Giao_Vien,27
346,346,Hermione,,Tien_si,Truong_phong,23
347,347,Harry,Nu,Dai_hoc,Truong_phong,3
348,348,Lan,,Cao_hoc,Thu_ky,15
349,349,Lan,,Tien_si,Massage,32
350,350,Long,Nam,Dai_hoc,Giam_doc,34
351,351,Ron,,Cao_hoc,Giao_Vien,2
352,352,Long,Nu,Cao_hoc,Truong_phong,10
353,353,Ngoc,,Dai_hoc,Giam_doc,13
354,354,Long,Nam,Tien_si,Maketting,10
355,355,Ron,Nu,Cao_hoc,Truong_phong,20
356,356,Luna,,Tien_si,Massage,19
357,357,Luna,Nu,Cao_hoc,Lap_trinh_vien,27
358,358,Long,,Dai_hoc,Giam_doc,33
359,359,Lan,Nam,Pho_thong,Giao_Vien,14
360,360,Nam,,Cao_hoc,Truong_phong,36
361,361,Long,Nam,Dai_hoc,Massage,29
362,362,Ngoc,Nam,Pho_thong,Thu_ky,29
363,363,Nam,Nu,Pho_thong,Massage,21
364,364,Luna,Nam,Dai_hoc,Massage,13
365,365,Ngoc,,Cao_hoc,Giao_Vien,23
366,366,Lan,Nam,Dai_hoc,Truong_phong,31
367,367,Harry,,Cao_hoc,Giao_Vien,10
368,368,Harry,,Tien_si,Maketting,7
369,369,Long,,Dai_hoc,Giang_vien,21
370,370,Long,Nu,Pho_thong,Lap_trinh_vien,4
371,371,Ngoc,Nu,Pho_thong,Massage,10
372,372,Luna,Nam,Cao_hoc,Thu_ky,2
373,373,Nam,,Dai_hoc,Truong_phong,3
374,374,Lan,Nam,Pho_thong,Thu_ky,5
375,375,Harry,,Dai_hoc,Giam_doc,19
376,376,Ngoc,,Dai_hoc,Giao_Vien,24
377,377,Harry,Nu,Cao_hoc,Giang_vien,25
378,378,Nam,Nam,Cao_hoc,Giam_doc,34
379,379,Ngoc,,Dai_hoc,Giam_doc,15
380,380,Ngoc,,Cao_hoc,Maketting,33
381,381,Hermione,,Pho_thong,Maketting,10
382,382,Hermione,Nam,Cao_hoc,Lap_trinh_vien,12
383,383,Long,Nu,Cao_hoc,Truong_phong,29
384,384,Luna,Nu,Cao_hoc,Giao_Vien,30
385,385,Lan,Nam,Pho_thong,Thu_ky,20
386,386,Nam,Nu,Pho_thong,Ke_toan,23
387,387,Ngoc,Nam,Cao_hoc,Truong_phong,2
388,388,Lan,Nam,Tien_si,Giao_Vien,26
389,389,Nam,Nu,Tien_si,Thu_ky,31
390,390,Long,,Tien_si,Thu_ky,2
391,391,Ngoc,Nu,Tien_si,Truong_phong,6
392,392,Ron,Nam,Pho_thong,Giang_vien,12
393,393,Nam,,Cao_hoc,Massage,26
394,394,Lan,Nu,Dai_hoc,Thu_ky,21
395,395,Hermione,Nu,Pho_thong,Giang_vien,16
396,396,Lan,,Tien_si,Giam_doc,10
397,397,Hermione,,Tien_si,Giao_Vien,22
398,398,Nam,Nam,Pho_thong,Massage,4
399,399,Nam,Nam,Tien_si,Maketting,27
400,400,Lan,,Tien_si,Maketting,20
401,401,Hermione,Nam,Pho_thong,Truong_phong,16
402,402,Ngoc,,Dai_hoc,Thu_ky,20
403,403,Harry,Nam,Tien_si,Thu_ky,8
404,404,Nam,Nu,Pho_thong,Ke_toan,12
405,405,Luna,,Tien_si,Massage,14
406,406,Luna,Nam,Cao_hoc,Giang_vien,18
407,407,Hermione,,Cao_hoc,Truong_phong,27
408,408,Nam,Nu,Dai_hoc,Giang_vien,31
409,409,Lan,Nam,Tien_si,Ke_toan,18
410,410,Ron,,Pho_thong,Massage,14
411,411,Luna,,Pho_thong,Massage,28
412,412,Harry,Nu,Tien_si,Maketting,29
413,413,Luna,Nam,Cao_hoc,Ke_toan,8
414,414,Lan,,Dai_hoc,Giang_vien,9
415,415,Long,Nu,Cao_hoc,Ke_toan,24
416,416,Long,Nu,Tien_si,Lap_trinh_vien,16
417,417,Luna,Nam,Dai_hoc,Truong_phong,9
418,418,Lan,Nam,Pho_thong,Giang_vien,33
419,419,Ngoc,Nu,Cao_hoc,Maketting,24
420,420,Long,Nu,Cao_hoc,Maketting,21
421,421,Ngoc,Nu,Cao_hoc,Giao_Vien,4
422,422,Hermione,Nu,Dai_hoc,Thu_ky,20
423,423,Long,Nu,Tien_si,Maketting,4
424,424,Nam,Nam,Dai_hoc,Truong_phong,17
425,425,Lan,Nam,Tien_si,Giam_doc,3
426,426,Ron,,Tien_si,Giam_doc,10
427,427,Nam,Nam,Cao_hoc,Maketting,26
428,428,Luna,,Dai_hoc,Lap_trinh_vien,25
429,429,Harry,,Dai_hoc,Giang_vien,29
430,430,Ngoc,Nam,Pho_thong,Thu_ky,7
431,431,Ngoc,,Cao_hoc,Giao_Vien,21
432,432,Lan,Nu,Pho_thong,Thu_ky,25
433,433,Ron,,Pho_thong,Thu_ky,24
434,434,Nam,Nam,Dai_hoc,Thu_ky,32
435,435,Long,,Dai_hoc,Maketting,32
436,436,Lan,Nu,Cao_hoc,Lap_trinh_vien,13
437,437,Harry,Nu,Pho_thong,Lap_trinh_vien,17
438,438,Harry,Nam,Dai_hoc,Truong_phong,15
439,439,Lan,Nu,Cao_hoc,Maketting,23
440,440,Ngoc,,Tien_si,Giang_vien,32
441,441,Ron,Nam,Tien_si,Giang_vien,34
442,442,Nam,Nam,Tien_si,Giao_Vien,3
443,443,Harry,Nu,Tien_si,Giang_vien,8
444,444,Long,Nu,Dai_hoc,Giang_vien,35
445,445,Nam,Nam,Cao_hoc,Massage,19
446,446,Nam,Nu,Cao_hoc,Giao_Vien,7
447,447,Ron,,Pho_thong,Ke_toan,27
448,448,Nam,,Tien_si,Giao_Vien,19
449,449,Long,Nam,Dai_hoc,Giang_vien,2
450,450,Harry,Nu,Cao_hoc,Giang_vien,7
451,451,Ron,,Tien_si,Giao_Vien,29
452,452,Ron,Nu,Pho_thong,Giao_Vien,30
453,453,Ngoc,Nam,Dai_hoc,Giam_doc,9
454,454,Nam,Nam,Cao_hoc,Massage,35
455,455,Luna,Nam,Cao_hoc,Lap_trinh_vien,1
456,456,Ron,Nam,Pho_thong,Giao_Vien,12
457,457,Hermione,,Pho_thong,Thu_ky,5
458,458,Ron,Nu,Dai_hoc,Giao_Vien,16
459,459,Ngoc,Nu,Tien_si,Giam_doc,21
460,460,Hermione,Nu,Dai_hoc,Truong_phong,9
461,461,Luna,Nu,Dai_hoc,Maketting,14
462,462,Lan,Nam,Tien_si,Giam_doc,25
463,463,Ngoc,Nu,Tien_si,Truong_phong,24
464,464,Lan,Nam,Pho_thong,Giao_Vien,3
465,465,Ron,Nu,Tien_si,Giao_Vien,28
466,466,Hermione,Nu,Dai_hoc,Ke_toan,8
467,467,Luna,Nu,Pho_thong,Massage,15
468,468,Nam,,Pho_thong,Thu_ky,30
469,469,Nam,Nu,Dai_hoc,Giang_vien,1
470,470,Harry,Nam,Dai_hoc,Giam_doc,9
471,471,Ron,Nu,Tien_si,Maketting,15
472,472,Hermione,Nam,Cao_hoc,Truong_phong,6
473,473,Nam,Nam,Cao_hoc,Ke_toan,30
474,474,Nam,Nu,Tien_si,Giao_Vien,16
475,475,Lan,Nu,Cao_hoc,Maketting,2
476,476,Long,Nu,Pho_thong,Massage,16
477,477,Nam,Nam,Cao_hoc,Thu_ky,9
478,478,Nam,Nam,Cao_hoc,Ke_toan,11
479,479,Ron,Nu,Cao_hoc,Giao_Vien,36
480,480,Long,Nu,Pho_thong,Thu_ky,9
481,481,Long,Nam,Cao_hoc,Thu_ky,2
482,482,Lan,,Cao_hoc,Truong_phong,29
483,483,Ron,,Tien_si,Maketting,9
484,484,Long,,Pho_thong,Giang_vien,31
485,485,Lan,Nam,Pho_thong,Ke_toan,4
486,486,Nam,,Pho_thong,Giang_vien,12
487,487,Long,,Cao_hoc,Giao_Vien,10
488,488,Ngoc,,Pho_thong,Truong_phong,17
489,489,Nam,,Dai_hoc,Giam_doc,5
490,490,Luna,Nam,Tien_si,Maketting,11
491,491,Hermione,,Dai_hoc,Giao_Vien,1
492,492,Ron,,Tien_si,Truong_phong,30
493,493,Luna,,Tien_si,Giam_doc,19
494,494,Ngoc,Nu,Pho_thong,Lap_trinh_vien,17
495,495,Hermione,,Tien_si,Maketting,33
496,496,Ron,,Pho_thong,Truong_phong,30
497,497,Ngoc,Nu,Pho_thong,Lap_trinh_vien,26
498,498,Lan,,Cao_hoc,Truong_phong,10
499,499,Ngoc,Nam,Cao_hoc,Ke_toan,35
500,500,Harry,Nam,Tien_si,Giang_vien,22
501,501,Lan,,Tien_si,Massage,26
502,502,Ron,,Tien_si,Thu_ky,15
503,503,Ron,Nu,Tien_si,Lap_trinh_vien,14
504,504,Harry,Nu,Pho_thong,Ke_toan,3
