,Unnamed: 0,ID,Name,Dia_chi,Dan_toc,So_thich_ca_nhan,Tuoi,Gioi_tinh,Ngoai_ngu,Y_thuc_trach_nhiem,Hot_work,Bang_cap,Xep_loai_bang,Truong_dao_tao,Mang_cong_viec,Nam_kinh_nghiem,So_truong,Vi_tri,He_so_trach_nhiem,Thanh_tich,Nguong_luong,Nang_luc_work,Thoi_gian_gan_bo,Luong_cu,Luong,Unnamed: 0,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
27,27,FSI_27,Ron,Tinh le,Cham,Cau ca,30,Nam,Tieng anh toiec,A,B,Dai hoc,Xuat sac,VNU,Ky su R&D,3,Data Science,Nhan vien,1.0,None,25,A,10,14.0,14.7,27,FSI_28,4,2,2,0,2,70,5,1,1,15/07/2020 ,0,2,02/06/2020 ,nghi phep,co gia dinh,3,180,50,dang bi benh,khong,co,oto
28,28,FSI_28,Luna,Tinh le,Kinh,Gym,18,Nam,Khong chung chi,A,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,C++,Nhan vien,1.0,None,25,B,1,12.0,12.6,28,FSI_29,0,1,1,3,4,100,4,4,1,28/02/2020 ,4,3,25/02/2020 ,part time,co gia dinh,3,175,50,khong bi benh,co,khong,xe may
29,29,FSI_29,Long,Ha Noi,Kinh,xem phim,25,Nam,Tieng anh toiec,D,D,Dai hoc,kha,EPU,PM,4,None,Nhan vien,1.0,None,30,C,3,22.0,23.1,29,FSI_30,0,0,1,5,1,80,3,2,3,09/02/2020 ,3,0,05/12/2019 ,full time,chua co gia dinh,2,165,60,dang bi benh,co,khong,bus
30,30,FSI_30,Nam,Tinh le,Kinh,Da bong,21,Nam,Tieng anh toiec,B,D,Dai hoc,kha,UTC,PM,0,None,Nhan vien,1.0,None,30,C,2,9.0,9.45,30,FSI_31,1,0,0,3,3,100,1,5,1,12/03/2020 ,2,0,13/06/2020 ,full time,chua co gia dinh,3,165,60,dang bi benh,co,khong,xe may
31,31,FSI_31,Ngoc,Tinh le,Mong,Nghe nhac,25,Nam,Khong chung chi,B,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,4,None,Nhan vien,1.0,None,15,D,4,10.0,10.5,31,FSI_32,0,4,0,2,1,100,2,2,2,13/09/2019 ,1,1,09/07/2020 ,full time,co gia dinh,0,165,50,khong bi benh,co,co,xe may
32,32,FSI_32,Long,Tinh le,Kinh,xem phim,25,Nu,Tieng anh ielts,B,B,Cao dang,Trung binh,HNUE,Lap trinh vien,4,.NET,Nhan vien,1.0,None,25,D,1,22.0,23.1,32,FSI_33,0,2,5,2,1,100,0,1,1,13/04/2020 ,0,5,03/08/2020 ,full time,co gia dinh,1,180,50,khong bi benh,khong,khong,xe may
33,33,FSI_33,Lan,Tinh le,Kinh,Yoga,21,Nu,Khong chung chi,B,D,Dai hoc,kha,TLU,Tu van ban hang,2,None,Teamlead,1.5,None,15,C,0,21.0,22.05,33,FSI_34,1,0,3,2,0,70,3,3,1,27/08/2020 ,1,1,29/11/2019 ,part time,chua co gia dinh,2,165,70,dang bi benh,co,co,xe may
34,34,FSI_34,Ron,Tinh le,Kinh,Yoga,26,Nu,Tieng anh toiec,C,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,2,Java,Teamlead,1.5,None,25,B,4,21.0,22.05,34,FSI_35,0,2,2,2,4,80,1,4,1,09/03/2020 ,3,2,16/08/2020 ,nghi phep,co gia dinh,1,180,50,dang bi benh,khong,khong,oto
35,35,FSI_35,Nam,Tinh le,Kinh,Cau long,18,Nu,Khong chung chi,A,B,Cao dang,Trung binh,UTC,Ky su R&D,0,NLP,Teamlead,1.5,None,25,A,1,12.0,12.6,35,FSI_36,0,2,2,1,1,80,1,1,1,07/08/2020 ,2,4,23/05/2020 ,part time,chua co gia dinh,3,180,40,khong bi benh,khong,khong,xe may
36,36,FSI_36,Harry,Ha Noi,Kinh,Cau ca,20,Nam,Tieng anh toiec,A,D,Cao dang,kha,VNU,PM,1,None,Nhan vien,1.0,None,30,A,0,7.0,7.35,36,FSI_37,1,1,2,3,1,70,3,4,2,25/02/2020 ,2,2,14/02/2020 ,full time,chua co gia dinh,1,165,70,dang bi benh,co,khong,oto
37,37,FSI_37,Ngoc,Tinh le,Kinh,Cau long,28,Nu,Khong chung chi,A,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,8,Android,Teamlead,1.5,None,25,D,9,22.5,23.625,37,FSI_38,5,2,1,1,5,100,1,1,3,14/12/2019 ,4,0,18/09/2019 ,nghi phep,chua co gia dinh,0,160,70,khong bi benh,khong,co,bus
38,38,FSI_38,Luna,Tinh le,Kinh,Gym,19,Nam,Khong chung chi,C,B,Dai hoc,Trung binh,HNUE,Lap trinh vien,0,Ruby,Teamlead,1.5,None,25,B,1,22.5,23.625,38,FSI_39,2,0,0,0,4,90,0,1,1,10/04/2020 ,4,5,06/01/2020 ,nghi phep,co gia dinh,0,165,60,khong bi benh,co,khong,xe may
39,39,FSI_39,Ngoc,Tinh le,Khome,Cau long,35,Nam,Tieng Nga,C,B,Dai hoc,kha,EPU,Lap trinh vien,6,Android,Nhan vien,1.0,None,25,B,0,4.0,4.2,39,FSI_40,3,3,2,0,0,80,4,4,3,18/11/2019 ,5,4,18/11/2019 ,full time,co gia dinh,1,180,70,dang bi benh,khong,co,bus
40,40,FSI_40,Luna,Tinh le,Kinh,Yoga,24,Nam,Tieng anh ielts,D,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,4,Java,Teamlead,1.5,None,25,B,3,30.0,31.5,40,FSI_41,0,4,0,0,1,100,0,5,3,11/06/2020 ,0,4,16/08/2020 ,part time,chua co gia dinh,0,175,40,khong bi benh,co,khong,bus
41,41,FSI_41,Lan,Tinh le,Tay,Nghe nhac,28,Nam,Khong chung chi,D,B,Khong bang cap,Khong xep loai,Khong di hoc,Ky su R&D,3,Tools,Nhan vien,1.0,None,25,A,9,12.0,12.6,41,FSI_42,2,0,5,5,0,90,5,5,1,06/03/2020 ,5,2,05/04/2020 ,full time,chua co gia dinh,1,165,70,dang bi benh,khong,khong,xe may
42,42,FSI_42,Harry,Tinh le,Kinh,xem phim,37,Nu,Tieng anh toiec,C,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,17,Python,Nhan vien,1.0,None,25,B,4,20.0,21.0,42,FSI_43,0,2,1,5,2,90,5,2,1,15/04/2020 ,2,1,19/11/2019 ,full time,co gia dinh,2,160,40,khong bi benh,co,khong,oto
43,43,FSI_43,Hermione,Tinh le,Kinh,Yoga,32,Nu,Tieng anh toiec,A,B,Cao dang,Xuat sac,VNU,Lap trinh vien,12,Python,Nhan vien,1.0,None,25,A,6,5.0,5.25,43,FSI_44,2,0,3,0,0,70,0,5,1,24/02/2020 ,1,0,05/10/2019 ,nghi phep,co gia dinh,0,150,70,dang bi benh,khong,co,bus
44,44,FSI_44,Hermione,Tinh le,Muong,Cau long,21,Nu,Tieng anh toiec,A,A,Cao dang,kha,EPU,Lap trinh vien,2,C++,Teamlead,1.5,None,25,D,0,34.5,36.225,44,FSI_45,0,2,4,2,5,70,1,1,3,03/02/2020 ,0,0,31/12/2019 ,nghi phep,chua co gia dinh,0,150,50,dang bi benh,khong,co,oto
45,45,FSI_45,Long,Tinh le,Kinh,Gym,33,Nu,Tieng anh toiec,B,A,Cao dang,Trung binh,TLU,Lap trinh vien,13,Java,Nhan vien,1.0,Oympic toan,25,B,2,12.0,12.6,45,FSI_46,4,3,5,1,0,100,2,3,3,29/09/2019 ,1,0,01/07/2020 ,part time,co gia dinh,1,175,70,khong bi benh,co,khong,bus
46,46,FSI_46,Long,Tinh le,Kinh,Da bong,26,Nam,Tieng anh toiec,C,B,Dai hoc,Trung binh,EPU,Lap trinh vien,7,Python,Nhan vien,1.0,None,25,C,6,20.0,21.0,46,FSI_47,0,0,1,5,0,80,2,0,2,08/12/2019 ,3,5,02/09/2020 ,full time,co gia dinh,0,175,60,khong bi benh,co,khong,xe may
47,47,FSI_47,Nam,Tinh le,Kinh,xem phim,29,Nam,Tieng anh toiec,C,A,Cao dang,kha,UTC,Lap trinh vien,9,C++,Nhan vien,1.0,None,25,B,9,14.0,14.7,47,FSI_48,3,1,3,2,2,100,3,1,3,18/11/2019 ,0,0,22/06/2020 ,full time,co gia dinh,3,170,70,dang bi benh,co,co,oto
48,48,FSI_48,Harry,Tinh le,Kinh,xem phim,29,Nu,Khong chung chi,B,D,Cao dang,Xuat sac,HUST,Xu ly data,7,None,Nhan vien,1.0,None,15,D,1,5.0,5.25,48,FSI_49,4,0,0,0,3,100,1,5,2,11/09/2019 ,4,2,20/10/2019 ,full time,chua co gia dinh,1,165,40,khong bi benh,co,khong,xe may
49,49,FSI_49,Harry,Tinh le,Kinh,xem phim,38,Nam,Khong chung chi,B,A,Cao dang,Xuat sac,HAUI,Lap trinh vien,8,Java,Nhan vien,1.0,None,25,A,6,20.0,21.0,49,FSI_50,5,1,4,5,3,70,0,5,3,29/04/2020 ,1,1,17/06/2020 ,part time,chua co gia dinh,2,180,40,khong bi benh,khong,khong,xe may
50,50,FSI_50,Hermione,Tinh le,Ede,Nghe nhac,27,Nu,Khong chung chi,A,D,Khong bang cap,Khong xep loai,Khong di hoc,Tester,5,None,Nhan vien,1.0,None,15,B,1,7.0,7.35,50,FSI_51,1,0,4,5,2,90,4,3,2,12/05/2020 ,1,4,20/05/2020 ,part time,co gia dinh,2,160,70,khong bi benh,khong,co,bus
51,51,FSI_51,Hermione,Tinh le,Kinh,Cau long,19,Nam,Khong chung chi,C,A,Cao dang,Gioi,EPU,Lap trinh vien,0,Java,Nhan vien,1.0,None,25,C,0,23.0,24.15,51,FSI_52,0,0,4,1,2,100,2,0,3,09/11/2019 ,5,3,01/04/2020 ,full time,co gia dinh,1,160,40,khong bi benh,co,co,xe may
52,52,FSI_52,Lan,Tinh le,Kinh,Cau ca,46,Nu,Tieng anh toiec,A,B,Dai hoc,Gioi,EPU,Lap trinh vien,9,Ruby,Nhan vien,1.0,None,25,D,6,14.0,14.7,52,FSI_53,0,0,0,0,2,80,1,1,1,21/09/2019 ,2,1,18/09/2019 ,part time,co gia dinh,2,150,70,dang bi benh,khong,khong,xe may
53,53,FSI_53,Ngoc,Tinh le,Kinh,Gym,18,Nu,Khong chung chi,C,B,Dai hoc,Xuat sac,TLU,Ky su R&D,0,Data Science,Nhan vien,1.0,None,25,C,1,14.0,14.7,53,FSI_54,5,5,0,2,0,90,1,1,1,28/02/2020 ,2,1,08/09/2019 ,nghi phep,co gia dinh,0,160,40,khong bi benh,co,khong,bus
54,54,FSI_54,Luna,Ha Noi,Kinh,Da bong,22,Nu,Tieng anh ielts,A,C,Cao dang,Xuat sac,EPU,Lap trinh vien,1,PHP,Nhan vien,1.0,Khoa hoc sang tao,25,A,3,16.0,16.8,54,FSI_55,3,2,2,0,0,100,3,2,3,03/05/2020 ,5,0,25/06/2020 ,full time,chua co gia dinh,0,180,40,khong bi benh,co,khong,oto
55,55,FSI_55,Ngoc,Tinh le,Kinh,Cau ca,28,Nam,Tieng anh toiec,D,B,Cao dang,Xuat sac,HUST,Lap trinh vien,4,Ruby,Nhan vien,1.0,Khoa hoc sang tao,25,D,5,19.0,19.95,55,FSI_56,2,5,0,5,2,100,0,5,3,27/12/2019 ,2,2,04/05/2020 ,part time,chua co gia dinh,2,160,60,khong bi benh,co,co,xe may
56,56,FSI_56,Long,Ha Noi,Kinh,Gym,19,Nam,Tieng anh toiec,A,B,Cao dang,Gioi,TLU,Lap trinh vien,0,Python,Nhan vien,1.0,None,25,D,1,14.0,14.7,56,FSI_57,0,4,5,2,4,70,0,2,1,11/01/2020 ,5,2,10/07/2020 ,full time,co gia dinh,2,165,70,dang bi benh,co,khong,bus
57,57,FSI_57,Harry,Tinh le,Kinh,Cau ca,21,Nam,Tieng Nhat,A,A,Dai hoc,kha,TLU,Lap trinh vien,0,ios,Teamlead,1.5,None,25,C,1,21.0,22.05,57,FSI_58,0,2,0,4,0,90,3,1,1,08/04/2020 ,4,2,11/07/2020 ,part time,chua co gia dinh,0,160,50,dang bi benh,khong,khong,xe may
58,58,FSI_58,Nam,Tinh le,Kinh,xem phim,28,Nam,Khong chung chi,C,D,Khong bang cap,Khong xep loai,Khong di hoc,PM,8,None,Teamlead,1.5,None,30,B,5,40.5,42.525,58,FSI_59,0,2,0,0,0,80,0,1,2,19/06/2020 ,2,0,26/06/2020 ,part time,chua co gia dinh,2,150,40,dang bi benh,co,khong,xe may
59,59,FSI_59,Lan,Tinh le,Khome,Cau long,22,Nu,Tieng anh toiec,B,D,Cao dang,Xuat sac,HNUE,Tu van ban hang,1,None,Nhan vien,1.0,None,15,D,1,7.0,7.35,59,FSI_60,1,5,4,5,5,90,4,4,3,12/04/2020 ,0,1,02/07/2020 ,part time,chua co gia dinh,2,160,40,dang bi benh,khong,co,oto
60,60,FSI_60,Long,Tinh le,Nung,Cau ca,22,Nam,Khong chung chi,B,D,Cao dang,kha,EPU,BA,3,None,Nhan vien,1.0,Khoa hoc sang tao,25,C,0,6.0,6.3,60,FSI_61,2,3,5,1,0,90,0,1,3,23/08/2020 ,3,1,10/05/2020 ,nghi phep,chua co gia dinh,3,165,70,khong bi benh,co,co,xe may
61,61,FSI_61,Long,Tinh le,Dao,Gym,36,Nu,Khong chung chi,B,D,Dai hoc,Trung binh,VNU,Tester,6,None,Nhan vien,1.0,None,15,D,5,10.0,10.5,61,FSI_62,3,4,0,2,1,100,1,1,2,14/09/2019 ,3,2,09/05/2020 ,part time,co gia dinh,2,150,40,khong bi benh,khong,co,xe may
62,62,FSI_62,Ron,Ha Noi,Dao,Da bong,24,Nam,Khong chung chi,B,B,Dai hoc,Xuat sac,HUST,Lap trinh vien,4,Python,Nhan vien,1.0,None,25,C,3,20.0,21.0,62,FSI_63,4,1,5,4,4,100,4,5,1,01/12/2019 ,1,2,29/05/2020 ,full time,co gia dinh,2,165,50,dang bi benh,co,khong,xe may
63,63,FSI_63,Nam,Tinh le,Khome,xem phim,37,Nu,Tieng anh toiec,D,B,Cao dang,Trung binh,VNU,Lap trinh vien,8,Android,Nhan vien,1.0,None,25,C,9,12.0,12.6,63,FSI_64,2,4,2,0,0,70,1,1,2,30/07/2020 ,2,1,04/10/2019 ,full time,co gia dinh,0,180,60,dang bi benh,khong,khong,xe may
64,64,FSI_64,Long,Tinh le,Kinh,Da bong,24,Nu,Tieng anh toiec,D,A,Dai hoc,Trung binh,HNUE,Lap trinh vien,1,C++,Nhan vien,1.0,None,25,D,5,19.0,19.95,64,FSI_65,5,4,0,0,1,70,4,1,1,10/09/2019 ,2,0,01/07/2020 ,nghi phep,chua co gia dinh,1,175,50,dang bi benh,khong,co,xe may
65,65,FSI_65,Lan,Ha Noi,Kinh,Cau ca,56,Nu,Khong chung chi,B,B,Dai hoc,Xuat sac,UTC,Ky su R&D,13,Computer vision,Nhan vien,1.0,None,25,D,12,4.0,4.2,65,FSI_66,4,0,2,0,3,80,1,3,2,04/08/2020 ,5,0,20/06/2020 ,full time,chua co gia dinh,0,175,40,dang bi benh,khong,khong,oto
66,66,FSI_66,Ngoc,Tinh le,Kinh,Cau long,19,Nam,Khong chung chi,B,B,Dai hoc,Trung binh,USTH,Lap trinh vien,0,Ruby,Teamlead,1.5,None,25,C,1,24.0,25.2,66,FSI_67,1,0,5,0,1,80,1,0,3,29/12/2019 ,2,2,25/05/2020 ,full time,co gia dinh,0,180,50,dang bi benh,khong,co,xe may
67,67,FSI_67,Lan,Tinh le,Kinh,Cau ca,30,Nam,Tieng anh toiec,D,D,Cao dang,kha,UTC,Tu van ban hang,2,None,Nhan vien,1.0,None,15,D,7,10.0,10.5,67,FSI_68,0,2,3,1,0,100,1,0,1,24/10/2019 ,5,3,29/12/2019 ,part time,chua co gia dinh,1,160,70,khong bi benh,khong,khong,xe may
68,68,FSI_68,Ron,Tinh le,Kinh,Cau long,36,Nu,Khong chung chi,B,B,Dai hoc,Gioi,HNUE,Ky su R&D,14,Data Science,Nhan vien,1.0,None,25,A,3,7.0,7.35,68,FSI_69,2,0,0,4,2,100,2,0,2,27/02/2020 ,5,0,17/07/2020 ,full time,co gia dinh,1,165,50,dang bi benh,khong,co,xe may
